i,rawRoll,filteredRoll,residual
132,1.1043,0.6027,0.5016
133,1.641,1.0465,0.5945
134,2.1831,1.5287,0.6544000000000001
135,2.7695,2.0488,0.7206999999999999
136,3.383,2.597,0.786
137,3.9836,3.1575,0.8260999999999998
138,4.5505,3.7099,0.8406000000000002
139,5.0448,4.2284,0.8164000000000007
140,5.4346,4.6878,0.7467999999999995
141,5.6991,5.0627,0.6363999999999992
142,5.8161,5.3332,0.4828999999999999
143,5.7878,5.4865,0.30129999999999946
144,5.6153,5.5168,0.09850000000000048
145,5.3181,5.4257,-0.1075999999999997
146,4.9031,5.2151,-0.3119999999999994
147,4.375,4.8878,-0.5128000000000004
148,3.7428,4.4495,-0.7066999999999997
149,3.0161,3.9065,-0.8904000000000001
150,2.2026,3.2672,-1.0646
151,1.3159,2.5407,-1.2248
152,0.3725,1.7802,-1.4077
153,-0.0088,1.1455,-1.1542999999999999
154,-0.4061,0.5553,-0.9614
155,-0.9748,-0.0159,-0.9589
156,-1.4172,-0.5216,-0.8956000000000001
157,-1.729,-0.9538,-0.7752000000000001
158,-1.9544,-1.3044,-0.6499999999999999
159,-2.065,-1.5613,-0.5037
160,-2.063,-1.7187,-0.3443000000000003
161,-1.9495,-1.7738,-0.17569999999999997
162,-1.7246,-1.7233,-0.0012999999999998568
163,-1.3889,-1.5651,0.1761999999999999
164,-0.9393,-1.2965,0.35719999999999996
165,-0.371,-0.9162,0.5452
166,0.2559,-0.5537,0.8096
167,0.5107,-0.2122,0.7229000000000001
168,0.9336,0.1906,0.743
169,1.5053,0.6409,0.8644000000000001
170,2.0486,1.1221,0.9264999999999999
171,2.6166,1.6377,0.9789000000000001
172,3.2217,2.1815,1.0401999999999996
173,3.8218,2.7365,1.0853000000000002
174,4.369,3.2762,1.0928
175,4.8268,3.7736,1.0532000000000004
176,5.1733,4.205,0.9683000000000002
177,5.3964,4.5502,0.8461999999999996
178,5.4843,4.7919,0.6924000000000001
179,5.426,4.9152,0.5108000000000006
180,5.2121,4.9091,0.3030000000000008
181,4.8494,4.7679,0.08150000000000013
182,4.3426,4.489,-0.14639999999999986
183,3.6887,4.0712,-0.3825000000000003
184,2.9054,3.5217,-0.6162999999999998
185,2.0219,2.8549,-0.8330000000000002
186,1.0662,2.0868,-1.0206000000000002
187,0.1879,1.4297,-1.2418
188,-0.2438,0.8218,-1.0655999999999999
189,-0.841,0.1952,-1.0362
190,-1.4465,-0.3943,-1.0522
191,-1.8765,-0.9153,-0.9612
192,-2.1992,-1.3563,-0.8428999999999998
193,-2.3966,-1.6982,-0.6983999999999999
194,-2.4453,-1.924,-0.5213000000000001
195,-2.3407,-2.024,-0.3167
196,-2.0939,-1.9937,-0.10020000000000007
197,-1.7109,-1.8304,0.11949999999999994
198,-1.1874,-1.5322,0.3448
199,-0.5306,-1.1014,0.5708
200,0.234,-0.6522,0.8862
201,0.6229,-0.2111,0.8340000000000001
202,1.163,0.2951,0.8679000000000001
203,1.853,0.856,0.997
204,2.5166,1.4482,1.0684
205,3.1767,2.0605,1.1161999999999996
206,3.8163,2.6727,1.1436000000000002
207,4.3796,3.2512,1.1284
208,4.8228,3.764,1.0588000000000002
209,5.114,4.1813,0.9326999999999996
210,5.2402,4.4806,0.7595999999999998
211,5.1931,4.6449,0.5482000000000005
212,4.9785,4.6656,0.31289999999999996
213,4.6118,4.5434,0.06839999999999957
214,4.1144,4.2853,-0.1709000000000005
215,3.5029,3.8979,-0.395
216,2.7789,3.3871,-0.6082000000000001
217,1.9447,2.7601,-0.8153999999999999
218,1.0265,2.0301,-1.0036
219,0.2045,1.3958,-1.1913
220,-0.3154,0.7735,-1.0889
221,-0.9754,0.1284,-1.1038000000000001
222,-1.5951,-0.4831,-1.112
223,-2.0647,-1.0316,-1.0331000000000001
224,-2.4139,-1.4977,-0.9161999999999999
225,-2.6334,-1.8635,-0.7699
226,-2.7039,-2.1118,-0.5920999999999998
227,-2.613,-2.2283,-0.38470000000000004
228,-2.3629,-2.2061,-0.1567999999999996
229,-1.9649,-2.0419,0.07699999999999996
230,-1.4159,-1.7344,0.3185
231,-0.7249,-1.2874,0.5625000000000001
232,0.087,-0.7567,0.8437
233,0.5609,-0.204,0.7648999999999999
234,1.2018,0.3972,0.8046
235,1.943,1.0403,0.9027000000000001
236,2.6642,1.705,0.9592
237,3.3608,2.3734,0.9873999999999996
238,4.0,3.018,0.9820000000000002
239,4.5352,3.6072,0.9279999999999995
240,4.9317,4.1093,0.8224
241,5.1512,4.4915,0.6597
242,5.1729,4.7299,0.4430000000000005
243,5.0032,4.8117,0.19149999999999956
244,4.6595,4.7366,-0.07709999999999972
245,4.172,4.5112,-0.33919999999999995
246,3.5555,4.145,-0.5894999999999997
247,2.8291,3.652,-0.8229000000000002
248,2.014,3.0446,-1.0306000000000002
249,1.1194,2.3366,-1.2171999999999998
250,0.187,1.6792,-1.4922
251,-0.3022,1.0078,-1.31
252,-0.9981,0.3491,-1.3472
253,-1.5894,-0.2718,-1.3175999999999999
254,-2.0631,-0.825,-1.2381
255,-2.396,-1.2865,-1.1095
256,-2.5911,-1.6421,-0.9490000000000001
257,-2.6372,-1.8738,-0.7634000000000001
258,-2.5209,-1.9718,-0.5491000000000001
259,-2.2525,-1.9323,-0.32020000000000004
260,-1.8473,-1.7551,-0.09219999999999984
261,-1.2946,-1.4396,0.14500000000000002
262,-0.6165,-0.9925,0.376
263,0.1626,-0.5183,0.6809
264,0.718,0.0188,0.6991999999999999
265,1.3953,0.5983,0.7969999999999999
266,2.041,1.1856,0.8553999999999999
267,2.6102,1.7551,0.8550999999999997
268,3.0953,2.2824,0.8129
269,3.4711,2.7406,0.7304999999999997
270,3.7048,3.1038,0.601
271,3.7786,3.3484,0.43020000000000014
272,3.6764,3.4585,0.2179000000000002
273,3.4181,3.4304,-0.0123000000000002
274,3.022,3.2679,-0.24590000000000023
275,2.5151,2.9826,-0.46750000000000025
276,1.9175,2.5854,-0.6678999999999999
277,1.2375,2.0881,-0.8505999999999998
278,0.4891,1.5283,-1.0392000000000001
279,0.1236,0.9946,-0.871
280,-0.5023,0.4449,-0.9472
281,-1.0483,-0.0921,-0.9562
282,-1.5138,-0.5954,-0.9184
283,-1.8978,-1.0466,-0.8512
284,-2.1809,-1.4258,-0.7550999999999999
285,-2.3383,-1.7132,-0.6250999999999998
286,-2.3508,-1.8905,-0.46029999999999993
287,-2.2135,-1.9453,-0.26819999999999977
288,-1.9235,-1.869,-0.05449999999999999
289,-1.4917,-1.6602,0.16849999999999987
290,-0.9329,-1.3245,0.39160000000000006
291,-0.2725,-0.8722,0.5996999999999999
292,0.38,-0.4391,0.8190999999999999
293,0.9744,0.045,0.9294
294,1.5531,0.5548,0.9983
295,2.0953,1.0664,1.0289
296,2.5734,1.5539,1.0194999999999999
297,2.9568,1.9893,0.9674999999999998
298,3.205,2.3412,0.8637999999999999
299,3.29,2.5799,0.7101000000000002
300,3.1897,2.683,0.5067000000000004
301,2.9064,2.6386,0.26780000000000026
302,2.4589,2.4434,0.015499999999999847
303,1.8636,2.103,-0.23940000000000028
304,1.1497,1.6294,-0.4797
305,0.3653,1.1602,-0.7948999999999999
306,-0.0673,0.6239,-0.6912
307,-0.8045,0.0549,-0.8593999999999999
308,-1.4249,-0.5243,-0.9006000000000001
309,-1.9882,-1.0863,-0.9018999999999999
310,-2.4695,-1.6073,-0.8622000000000001
311,-2.8467,-2.0653,-0.7813999999999997
312,-3.0993,-2.437,-0.6623000000000001
313,-3.2086,-2.7018,-0.5068000000000001
314,-3.1634,-2.8445,-0.3189000000000002
315,-2.9619,-2.8567,-0.10519999999999996
316,-2.6164,-2.7345,0.1181000000000001
317,-2.1354,-2.4807,0.34529999999999994
318,-1.5349,-2.1011,0.5662000000000003
319,-0.8347,-1.6087,0.774
320,-0.0627,-1.0244,0.9617
321,0.461,-0.4608,0.9218
322,1.0646,0.0912,0.9734
323,1.5421,0.5987,0.9434
324,1.8867,1.0304,0.8563000000000001
325,2.0693,1.3577,0.7116000000000002
326,2.081,1.5554,0.5256000000000001
327,1.8979,1.603,0.29489999999999994
328,1.5221,1.4882,0.03390000000000004
329,0.9738,1.2139,-0.24009999999999998
330,0.312,0.9036,-0.5915999999999999
331,-0.0154,0.5212,-0.5366
332,-0.6751,0.0679,-0.743
333,-1.2414,-0.4187,-0.8227
334,-1.7735,-0.9077,-0.8658000000000001
335,-2.2281,-1.3728,-0.8553
336,-2.5901,-1.7883,-0.8018000000000001
337,-2.8358,-2.1284,-0.7073999999999998
338,-2.9397,-2.3709,-0.5688000000000004
339,-2.8984,-2.5006,-0.39780000000000015
340,-2.7083,-2.5082,-0.20009999999999994
341,-2.3792,-2.3903,0.011099999999999888
342,-1.9273,-2.1502,0.22289999999999988
343,-1.3673,-1.795,0.42769999999999997
344,-0.7139,-1.3344,0.6205
345,0.0116,-0.7944,0.806
346,0.437,-0.2466,0.6836
347,1.0279,0.3045,0.7234
348,1.5553,0.8369,0.7183999999999999
349,2.0034,1.3259,0.6775
350,2.3342,1.744,0.5902000000000001
351,2.5224,2.0626,0.4598
352,2.527,2.2524,0.27459999999999996
353,2.3341,2.2896,0.04449999999999976
354,1.9422,2.1627,-0.22050000000000014
